"Unemployment Rates for Metropolitan Areas, Not Seasonally Adjusted",,
Metropolitan area,July 2019(P),Rank
,rate,
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",3.3,95
"Pocatello, ID Metropolitan Statistical Area",3.3,95
"San Angelo, TX Metropolitan Statistical Area",3.3,95
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.3,95
"Trenton, NJ Metropolitan Statistical Area",3.3,95
"Tulsa, OK Metropolitan Statistical Area",3.3,95
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3.3,95
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",3.3,95
"Worcester, MA-CT Metropolitan NECTA",3.3,95
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",3.4,111
"Colorado Springs, CO Metropolitan Statistical Area",3.4,111
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",3.4,111
"Evansville, IN-KY Metropolitan Statistical Area",3.4,111
"Fort Wayne, IN Metropolitan Statistical Area",3.4,111
"Grand Island, NE Metropolitan Statistical Area",3.4,111
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",3.4,111
"Leominster-Gardner, MA Metropolitan NECTA",3.4,111
"Lewiston, ID-WA Metropolitan Statistical Area",3.4,111
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",3.4,111
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",3.4,111
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",3.4,111
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",3.4,111
"Reno, NV Metropolitan Statistical Area",3.4,111
"St. George, UT Metropolitan Statistical Area",3.4,111
"Savannah, GA Metropolitan Statistical Area",3.4,111
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",3.4,111
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",3.5,128
"Asheville, NC Metropolitan Statistical Area",3.5,128
"Athens-Clarke County, GA Metropolitan Statistical Area",3.5,128
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",3.5,128
"Brunswick, GA Metropolitan Statistical Area",3.5,128
"Gainesville, FL Metropolitan Statistical Area",3.5,128
"Glens Falls, NY Metropolitan Statistical Area",3.5,128
"Grand Junction, CO Metropolitan Statistical Area",3.5,128
"Jacksonville, FL Metropolitan Statistical Area",3.5,128
"Lynchburg, VA Metropolitan Statistical Area",3.5,128
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",3.5,128
"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",3.5,128
"Ocean City, NJ Metropolitan Statistical Area",3.5,128
"St. Joseph, MO-KS Metropolitan Statistical Area",3.5,128
"Tyler, TX Metropolitan Statistical Area",3.5,128
"Wichita Falls, TX Metropolitan Statistical Area",3.5,128
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",3.6,144
"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",3.6,144
"Cheyenne, WY Metropolitan Statistical Area",3.6,144
"Elkhart-Goshen, IN Metropolitan Statistical Area",3.6,144
"Florence, SC Metropolitan Statistical Area",3.6,144
"Gettysburg, PA Metropolitan Statistical Area",3.6,144
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",3.6,144
"Manhattan, KS Metropolitan Statistical Area",3.6,144
"New Haven, CT Metropolitan NECTA",3.6,144
"Panama City, FL Metropolitan Statistical Area",3.6,144
"St. Louis, MO-IL Metropolitan Statistical Area(1)",3.6,144
"San Diego-Carlsbad, CA Metropolitan Statistical Area",3.6,144
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",3.6,144
"Tallahassee, FL Metropolitan Statistical Area",3.6,144
"Victoria, TX Metropolitan Statistical Area",3.6,144
"Cape Girardeau, MO-IL Metropolitan Statistical Area",3.7,159
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",3.7,159
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",3.7,159
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",3.7,159
"Joplin, MO Metropolitan Statistical Area",3.7,159
"Kingston, NY Metropolitan Statistical Area",3.7,159
"Lawrence, KS Metropolitan Statistical Area",3.7,159
"Providence-Warwick, RI-MA Metropolitan NECTA",3.7,159
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",3.7,159
"Springfield, MA-CT Metropolitan NECTA",3.7,159
"State College, PA Metropolitan Statistical Area",3.7,159
