,Metropolitan,Quarterly Income,Total Income,Avg Income
109,"Elkhart-Goshen, IN","4,755","1,587,558,777",887
110,"Elmira, NY","1,930","397,296,791",881
111,"El Paso, TX","15,507","2,929,595,436",737
112,"Erie, PA","6,871","1,265,376,090",792
113,"Eugene, OR","12,451","1,679,219,626",827
114,"Evansville, IN-KY","7,625","1,709,604,617",854
115,"Fairbanks, AK","2,293","519,140,814","1,052"
116,"Fargo, ND-MN","8,822","1,667,571,557",930
117,"Farmington, NM","2,949","515,142,105",846
118,"Fayetteville, NC","6,629","1,335,358,563",817
119,"Fayetteville-Springdale-Rogers, AR-MO","13,389","2,752,433,643",897
120,"Flagstaff, AZ","3,398","699,171,301",849
121,"Flint, MI","6,926","1,505,615,154",860
122,"Florence, SC","4,260","842,205,144",766
123,"Florence-Muscle Shoals, AL","3,412","514,698,307",741
124,"Fond du Lac, WI","2,407","544,768,788",882
125,"Fort Collins, CO","12,534","2,068,686,915",965
126,"Fort Smith, AR-OK","6,625","1,025,434,129",749
127,"Fort Wayne, IN","10,218","2,317,055,522",842
128,"Fresno, CA","36,501","4,260,333,934",825
129,"Gadsden, AL","2,092","326,515,952",695
130,"Gainesville, FL","7,556","1,582,620,330",904
131,"Gainesville, GA","4,430","1,010,780,971",875
132,"Gettysburg, PA","2,178","361,648,354",792
133,"Glens Falls, NY","3,655","602,207,331",827
134,"Goldsboro, NC","2,245","380,739,645",704
135,"Grand Forks, ND-MN","3,258","572,138,855",854
136,"Grand Island, NE","2,980","423,449,737",754
137,"Grand Junction, CO","5,011","705,252,602",854
138,"Grand Rapids-Wyoming, MI","22,541","6,499,227,759",909
139,"Grants Pass, OR","2,637","250,252,789",689
140,"Great Falls, MT","2,847","359,493,043",785
141,"Greeley, CO","7,660","1,413,386,505",980
142,"Green Bay, WI","8,505","2,051,739,240",898
143,"Greensboro-High Point, NC","18,465","3,918,632,907",867
144,"Greenville, NC","3,783","858,200,518",867
145,"Greenville-Anderson-Mauldin, SC","21,287","4,403,129,044",851
