,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017
139,"Greeley, CO","10,987",2.6
140,"Green Bay, WI","17,091",3.3
141,"Greensboro-High Point, NC","35,596",4.7
142,"Greenville, NC","6,890",5.2
143,"Greenville-Anderson-Mauldin, SC","36,527",2.9
144,"Gulfport-Biloxi-Pascagoula, MS","15,037",5.9
145,"Hagerstown-Martinsburg, MD-WV","8,732",3.8
146,"Hammond, LA","3,464",6.1
147,"Hanford-Corcoran, CA","4,469",7.8
148,"Harrisburg-Carlisle, PA","32,491",4
149,"Harrisonburg, VA","6,975",3
150,"Hartford-West Hartford-East Hartford, CT","79,244",3.7
151,"Hattiesburg, MS","5,334",5.4
152,"Hickory-Lenoir-Morganton, NC","12,488",4.2
153,"Hilton Head Island-Bluffton-Beaufort, SC","7,890",3
154,"Hinesville, GA","2,993",4.2
155,"Homosassa Springs, FL","2,757",5.2
156,"Hot Springs, AR","2,789",4.1
157,"Houma-Thibodaux, LA","7,972",4.9
158,"Houston-The Woodlands-Sugar Land, TX","436,369",4
159,"Huntington-Ashland, WV-KY-OH","13,229",5.3
160,"Huntsville, AL","22,677",2.6
161,"Idaho Falls, ID","6,094",2.2
162,"Indianapolis-Carmel-Anderson, IN","122,608",3.3
163,"Iowa City, IA","8,934",2.3
164,"Ithaca, NY","4,391",3.9
165,"Jackson, MI","5,548",4.9
166,"Jackson, MS","26,268",5.3
167,"Jackson, TN","5,629",4.3
168,"Jacksonville, FL","65,830",3.5
169,"Jacksonville, NC","7,385",5.3
170,"Janesville-Beloit, WI","5,737",3.8
171,"Jefferson City, MO","6,359",3.2
172,"Johnson City, TN","6,092",4.7
173,"Johnstown, PA","3,690",5.8
174,"Jonesboro, AR","4,521",3.3
175,"Joplin, MO","6,486",3.7
176,"Kahului-Wailuku-Lahaina, HI","7,938",2.6
177,"Kalamazoo-Portage, MI","14,630",4.6
178,"Kankakee, IL","3,840",4.6
179,"Kansas City, MO-KS","114,418",4
180,"Kennewick-Richland, WA","11,894",5.4
181,"Killeen-Temple, TX","15,411",4
182,"Kingsport-Bristol-Bristol, TN-VA","10,101",4.4
183,"Kingston, NY","5,318",3.7
184,"Knoxville, TN","36,179",4.2
185,"Kokomo, IN","4,101",3.9
186,"La Crosse-Onalaska, WI-MN","6,510",3
187,"Lafayette, LA","19,285",5
188,"Lafayette-West Lafayette, IN","8,945",3.4
189,"Lake Charles, LA","13,614",4.2
190,"Lake Havasu City-Kingman, AZ","3,759",6.5
191,"Lakeland-Winter Haven, FL","18,297",4.1
192,"Lancaster, PA","25,170",3.8
193,"Lansing-East Lansing, MI","19,548",4.6
194,"Laredo, TX","7,090",4
195,"Las Cruces, NM","6,171",6.4
196,"Las Vegas-Henderson-Paradise, NV","96,062",4.7
197,"Lawrence, KS","3,959",3.7
198,"Lawton, OK","4,497",3.8
199,"Lebanon, PA","4,474",4
200,"Lewiston, ID-WA","2,146",3.4
201,"Lewiston-Auburn, ME","3,621",2.6
202,"Lexington-Fayette, KY","26,079",4
203,"Lima, OH","4,695",4.7
204,"Lincoln, NE","17,300",3.1
205,"Little Rock-North Little Rock-Conway, AR","34,241",3.6
206,"Logan, UT-ID","4,411",2.6
207,"Longview, TX","9,137",4
208,"Longview, WA","3,761",6.6
209,"Los Angeles-Long Beach-Anaheim, CA","904,899",4.6
210,"Louisville/Jefferson County, KY-IN","65,700",4.6
211,"Lubbock, TX","12,038",3.3
212,"Lynchburg, VA","8,547",3.5
213,"Madera, CA","4,956",7.4
214,"Madison, WI","43,597",2.6
215,"Manhattan, KS","3,308",3.6
216,"Mankato-North Mankato, MN","4,714",2.9
217,"Mansfield, OH","3,914",4.8
218,"McAllen-Edinburg-Mission, TX","17,652",6.7
219,"Medford, OR","7,412",5.3
220,"Memphis, TN-MS-AR","62,059",5
221,"Merced, CA","7,590",8.4
222,"Miami-Fort Lauderdale-West Palm Beach, FL","296,486",3.4
223,"Michigan City-La Porte, IN","3,443",4.3
224,"Midland, MI","5,408",4.5
225,"Midland, TX","29,825",2.2
226,"Milwaukee-Waukesha-West Allis, WI","91,962",3.8
227,"Minneapolis-St. Paul-Bloomington, MN-WI","226,152",3.1
228,"Missoula, MT","4,807",2.5
229,"Mobile, AL","16,803",3.8
230,"Modesto, CA","17,954",6.6
231,"Monroe, LA","6,936",5.7
232,"Monroe, MI","4,479",5.7
233,"Montgomery, AL","15,179",3
234,"Morgantown, WV","6,903",3.9
235,"Morristown, TN","3,828",4.8
236,"Mount Vernon-Anacortes, WA","5,244",5.7
237,"Muncie, IN","3,425",4.3
238,"Muskegon, MI","5,196",5.4
239,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","14,844",3.9
240,"Napa, CA","9,750",3
241,"Naples-Immokalee-Marco Island, FL","15,608",3.5
242,"Nashville-Davidson--Murfreesboro--Franklin, TN","115,716",3.4
243,"New Bern, NC","4,301",4.6
244,"New Orleans-Metairie, LA","67,023",4.8
245,"New York-Newark-Jersey City, NY-NJ-PA","1,444,484",3.9
246,"Niles-Benton Harbor, MI","5,952",5
247,"North Port-Sarasota-Bradenton, FL","27,015",3.3
248,"Ocala, FL","7,503",4.1
249,"Ocean City, NJ","4,481",3.5
250,"Odessa, TX","9,061",2.8
251,"Ogden-Clearfield, UT","22,326",3
252,"Oklahoma City, OK","67,714",3.1
253,"Olympia-Tumwater, WA","10,653",5.3
254,"Omaha-Council Bluffs, NE-IA","56,229",3.2
255,"Orlando-Kissimmee-Sanford, FL","114,969",3.2
256,"Oshkosh-Neenah, WI","9,245",3.2
257,"Owensboro, KY","4,849",4.5
258,"Oxnard-Thousand Oaks-Ventura, CA","43,400",3.9
259,"Palm Bay-Melbourne-Titusville, FL","19,480",3.4
260,"Panama City, FL","7,273",3.6
261,"Parkersburg-Vienna, WV","3,823",4.9
262,"Pensacola-Ferry Pass-Brent, FL","15,495",3.4
263,"Peoria, IL","16,364",4.5
264,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","387,217",4.3
265,"Phoenix-Mesa-Scottsdale, AZ","210,968",4.8
266,"Pine Bluff, AR","2,663",5.8
267,"Pittsburgh, PA","131,222",4.5
