,Metropolitan Areas,GDP 2017
157,"Homosassa Springs, FL","2,757"
158,"Hot Springs, AR","2,789"
159,"Houma-Thibodaux, LA","7,972"
160,"Houston-The Woodlands-Sugar Land, TX","436,369"
161,"Huntington-Ashland, WV-KY-OH","13,229"
162,"Huntsville, AL","22,677"
163,"Idaho Falls, ID","6,094"
164,"Indianapolis-Carmel-Anderson, IN","122,608"
165,"Iowa City, IA","8,934"
166,"Ithaca, NY","4,391"
167,"Jackson, MI","5,548"
168,"Jackson, MS","26,268"
169,"Jackson, TN","5,629"
170,"Jacksonville, FL","65,830"
171,"Jacksonville, NC","7,385"
172,"Janesville-Beloit, WI","5,737"
173,"Jefferson City, MO","6,359"
174,"Johnson City, TN","6,092"
175,"Johnstown, PA","3,690"
176,"Jonesboro, AR","4,521"
177,"Joplin, MO","6,486"
178,"Kahului-Wailuku-Lahaina, HI","7,938"
179,"Kalamazoo-Portage, MI","14,630"
180,"Kankakee, IL","3,840"
181,"Kansas City, MO-KS","114,418"
182,"Kennewick-Richland, WA","11,894"
183,"Killeen-Temple, TX","15,411"
184,"Kingsport-Bristol-Bristol, TN-VA","10,101"
185,"Kingston, NY","5,318"
186,"Knoxville, TN","36,179"
187,"Kokomo, IN","4,101"
188,"La Crosse-Onalaska, WI-MN","6,510"
189,"Lafayette, LA","19,285"
190,"Lafayette-West Lafayette, IN","8,945"
191,"Lake Charles, LA","13,614"
192,"Lake Havasu City-Kingman, AZ","3,759"
193,"Lakeland-Winter Haven, FL","18,297"
194,"Lancaster, PA","25,170"
195,"Lansing-East Lansing, MI","19,548"
196,"Laredo, TX","7,090"
197,"Las Cruces, NM","6,171"
198,"Las Vegas-Henderson-Paradise, NV","96,062"
199,"Lawrence, KS","3,959"
200,"Lawton, OK","4,497"
201,"Lebanon, PA","4,474"
202,"Lewiston, ID-WA","2,146"
203,"Lewiston-Auburn, ME","3,621"
204,"Lexington-Fayette, KY","26,079"
205,"Lima, OH","4,695"
206,"Lincoln, NE","17,300"
207,"Little Rock-North Little Rock-Conway, AR","34,241"
208,"Logan, UT-ID","4,411"
209,"Longview, TX","9,137"
210,"Longview, WA","3,761"
211,"Los Angeles-Long Beach-Anaheim, CA","904,899"
212,"Louisville/Jefferson County, KY-IN","65,700"
213,"Lubbock, TX","12,038"
214,"Lynchburg, VA","8,547"
215,"Macon, GA","8,457"
216,"Madera, CA","4,956"
217,"Madison, WI","43,597"
218,"Manchester-Nashua, NH","25,103"
219,"Manhattan, KS","3,308"
220,"Mankato-North Mankato, MN","4,714"
221,"Mansfield, OH","3,914"
222,"McAllen-Edinburg-Mission, TX","17,652"
223,"Medford, OR","7,412"
224,"Memphis, TN-MS-AR","62,059"
225,"Merced, CA","7,590"
