Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet,State,county,Poverty Rate,Unemployment Rate
"Harris County, Georgia",69539.0,33198.0,43.2,32373.0,2382.0,1403.0,12088.0,915.0,7709.0,9297.0,5490.0,3242.0,940.0,289.0,1946.0,13,145,7.175131031989879,4.2261582023013435
"Marion County, Georgia",39015.0,8558.0,43.3,20154.0,1952.0,380.0,3263.0,259.0,1326.0,1711.0,917.0,649.0,233.0,44.0,1303.0,13,197,22.80906753914466,4.440289787333489
"Schley County, Georgia",41267.0,5168.0,36.9,19761.0,1148.0,335.0,1925.0,381.0,799.0,1341.0,1072.0,203.0,179.0,51.0,552.0,13,249,22.21362229102167,6.482198142414861
"Worth County, Georgia",40369.0,20809.0,42.1,20783.0,4447.0,873.0,7899.0,1164.0,3462.0,5281.0,3479.0,1490.0,688.0,229.0,2292.0,13,321,21.370560815031958,4.195300110529098
"Bleckley County, Georgia",40688.0,12779.0,37.4,20667.0,2591.0,352.0,4155.0,702.0,1702.0,2629.0,1578.0,810.0,337.0,133.0,1267.0,13,023,20.27545191329525,2.7545191329525003
"Dooly County, Georgia",33389.0,14053.0,43.5,16867.0,2837.0,577.0,5171.0,704.0,1875.0,2775.0,1983.0,680.0,215.0,67.0,2192.0,13,093,20.187860243364405,4.105884864441756
"Evans County, Georgia",38736.0,10757.0,37.3,20736.0,2657.0,303.0,4023.0,505.0,1620.0,2562.0,1426.0,730.0,498.0,234.0,1184.0,13,109,24.700195221716093,2.816770475039509
"Franklin County, Georgia",39246.0,22328.0,41.1,19663.0,5503.0,558.0,8322.0,571.0,3968.0,4948.0,2533.0,2049.0,484.0,170.0,2688.0,13,119,24.6461841633823,2.499104263704765
"Webster County, Georgia",36658.0,2627.0,43.5,22206.0,509.0,47.0,1091.0,157.0,289.0,528.0,333.0,160.0,83.0,26.0,490.0,13,307,19.375713741910925,1.7891130567186906
"Effingham County, Georgia",64279.0,57087.0,36.2,26765.0,5405.0,1428.0,19584.0,1561.0,13599.0,15734.0,9497.0,5869.0,1065.0,132.0,3010.0,13,103,9.468004974862929,2.501445162646487
"Lamar County, Georgia",41157.0,18282.0,38.1,20458.0,3525.0,898.0,6263.0,567.0,3287.0,4225.0,2168.0,1787.0,510.0,152.0,1722.0,13,171,19.281260255989498,4.911935236844984
"Glascock County, Georgia",45273.0,3027.0,42.9,19815.0,339.0,45.0,1083.0,87.0,450.0,670.0,326.0,288.0,130.0,45.0,376.0,13,125,11.199207135777998,1.4866204162537167
"Emanuel County, Georgia",33089.0,22502.0,37.2,17944.0,6329.0,957.0,8387.0,785.0,3967.0,4983.0,2581.0,2200.0,358.0,78.0,2947.0,13,107,28.12638876544307,4.252955292862857
"Quitman County, Georgia",26750.0,2140.0,52.6,18921.0,488.0,100.0,978.0,127.0,176.0,445.0,304.0,66.0,153.0,60.0,448.0,13,239,22.80373831775701,4.672897196261682
"Chatham County, Georgia",52215.0,285506.0,34.9,28765.0,47119.0,12654.0,107427.0,10925.0,73749.0,86617.0,59735.0,25426.0,4072.0,458.0,17077.0,13,051,16.50368118358283,4.432131023516143
"Liberty County, Georgia",43493.0,62120.0,27.9,20966.0,9931.0,3028.0,23108.0,1820.0,16259.0,18526.0,9573.0,8366.0,1140.0,215.0,3664.0,13,179,15.986799742433998,4.874436574372183
"Jasper County, Georgia",42067.0,13732.0,42.2,19784.0,2623.0,429.0,5100.0,635.0,1992.0,3211.0,2120.0,827.0,603.0,187.0,1608.0,13,159,19.101369064957762,3.124089717448296
"Johnson County, Georgia",36423.0,9800.0,41.6,19706.0,2037.0,531.0,3277.0,291.0,1167.0,1795.0,752.0,809.0,326.0,151.0,1210.0,13,167,20.785714285714285,5.418367346938775
"Lanier County, Georgia",31109.0,10388.0,33.8,17739.0,2875.0,420.0,3744.0,294.0,1469.0,1874.0,1014.0,783.0,191.0,55.0,1473.0,13,173,27.67616480554486,4.0431266846361185
"Madison County, Georgia",47653.0,28600.0,41.0,22885.0,4977.0,1044.0,10571.0,718.0,5720.0,7071.0,3920.0,2559.0,929.0,357.0,2938.0,13,195,17.402097902097903,3.6503496503496504
"Mitchell County, Georgia",34122.0,22574.0,38.8,16088.0,5438.0,1419.0,7991.0,1371.0,2425.0,4665.0,3547.0,720.0,985.0,234.0,2895.0,13,205,24.08966067156906,6.285992735004873
"Seminole County, Georgia",33999.0,8549.0,44.0,21257.0,2149.0,226.0,3353.0,263.0,1142.0,1875.0,858.0,546.0,401.0,241.0,1308.0,13,253,25.13744297578664,2.6435840449175343
"Tift County, Georgia",38728.0,40531.0,35.5,20800.0,10725.0,694.0,14999.0,1213.0,7539.0,9419.0,4358.0,4496.0,806.0,332.0,5134.0,13,277,26.461227208803138,1.7122696207840913
"Twiggs County, Georgia",30629.0,8323.0,46.3,17485.0,2244.0,173.0,2943.0,258.0,1040.0,1427.0,712.0,606.0,165.0,57.0,1343.0,13,289,26.961432175898114,2.0785774360206655
"Polk County, Georgia",40652.0,41444.0,37.1,22314.0,7781.0,1367.0,14949.0,1732.0,7975.0,10350.0,6656.0,3342.0,980.0,228.0,3705.0,13,233,18.774732168709583,3.2984267927806195
"Talbot County, Georgia",37226.0,6423.0,49.9,21351.0,1070.0,234.0,2801.0,236.0,1006.0,1415.0,727.0,444.0,248.0,106.0,1194.0,13,263,16.658882142301106,3.6431574030826717
"Taylor County, Georgia",29875.0,8267.0,43.8,18482.0,2285.0,488.0,3554.0,393.0,1400.0,1950.0,1138.0,693.0,219.0,99.0,1417.0,13,269,27.64001451554373,5.902987782750696
"Terrell County, Georgia",32219.0,8978.0,40.7,17562.0,3047.0,390.0,3290.0,532.0,1483.0,2155.0,1547.0,529.0,221.0,53.0,958.0,13,273,33.938516373357096,4.343951882379149
"Thomas County, Georgia",41336.0,44909.0,39.6,24047.0,8580.0,1917.0,17254.0,1447.0,10778.0,12822.0,8443.0,3957.0,862.0,212.0,3972.0,13,275,19.105301832594805,4.268632122737091
"Toombs County, Georgia",35750.0,27160.0,36.1,21309.0,6532.0,1213.0,10521.0,1456.0,4394.0,6653.0,3784.0,2320.0,1022.0,374.0,3291.0,13,279,24.050073637702504,4.4661266568483065
"Wilkinson County, Georgia",38711.0,9147.0,42.5,19823.0,2112.0,311.0,3288.0,221.0,1472.0,1817.0,771.0,893.0,225.0,67.0,1267.0,13,319,23.089537553296164,3.40002186509238
"Ben Hill County, Georgia",32344.0,17272.0,39.0,16635.0,5139.0,333.0,6361.0,422.0,2932.0,3786.0,2117.0,1263.0,793.0,188.0,2243.0,13,017,29.753358036127835,1.927975914775359
"Burke County, Georgia",38707.0,22645.0,37.4,19720.0,6504.0,534.0,8068.0,1271.0,3323.0,5014.0,3385.0,1447.0,700.0,114.0,2707.0,13,033,28.72157209096931,2.3581364539633474
"Catoosa County, Georgia",54537.0,65870.0,39.6,25643.0,7045.0,1798.0,24719.0,1892.0,16866.0,19254.0,11056.0,7678.0,844.0,174.0,4404.0,13,047,10.695308941855169,2.7296189464095946
"Chattahoochee County, Georgia",46096.0,11096.0,23.7,22774.0,1139.0,395.0,2505.0,242.0,1532.0,1883.0,1241.0,585.0,133.0,43.0,531.0,13,053,10.264960346070657,3.5598413842826244
"Chattooga County, Georgia",35718.0,24880.0,40.3,17716.0,5152.0,928.0,9253.0,824.0,5174.0,6285.0,3182.0,2875.0,473.0,123.0,2630.0,13,055,20.707395498392284,3.729903536977492
"Columbia County, Georgia",74162.0,143723.0,36.4,31720.0,12269.0,3857.0,45823.0,3287.0,32521.0,36763.0,23593.0,12024.0,1922.0,309.0,7447.0,13,073,8.536559910383168,2.68363449134794
"Decatur County, Georgia",36934.0,27023.0,37.9,19650.0,6233.0,680.0,10311.0,965.0,3304.0,5439.0,2878.0,1720.0,1181.0,664.0,4511.0,13,087,23.06553676497798,2.51637493986604
"Floyd County, Georgia",46096.0,96471.0,38.3,23929.0,16774.0,3381.0,35506.0,4359.0,21249.0,26803.0,20171.0,5700.0,1814.0,272.0,7675.0,13,115,17.387608711426232,3.504680162950524
"Forsyth County, Georgia",96445.0,211300.0,38.2,39896.0,13643.0,4567.0,70468.0,3101.0,59609.0,64282.0,46465.0,16619.0,4318.0,383.0,5103.0,13,117,6.456696639848556,2.161381921438713
"Habersham County, Georgia",44474.0,43878.0,39.5,20656.0,7114.0,1005.0,15106.0,860.0,8180.0,9443.0,5253.0,3763.0,788.0,161.0,4972.0,13,137,16.213136423720314,2.290441679201422
"Hart County, Georgia",41216.0,25535.0,43.0,21668.0,4642.0,494.0,9848.0,626.0,5050.0,6017.0,2921.0,2650.0,511.0,242.0,3095.0,13,147,18.17897004112003,1.9345995692187195
"Lowndes County, Georgia",39911.0,113941.0,30.1,21199.0,27410.0,4687.0,40318.0,2062.0,23487.0,26684.0,13739.0,11659.0,2012.0,547.0,10029.0,13,185,24.05630984456868,4.113532442228873
"McIntosh County, Georgia",43285.0,14061.0,49.2,25226.0,2829.0,580.0,5730.0,346.0,3537.0,3951.0,2293.0,1546.0,153.0,16.0,1447.0,13,191,20.11947941113719,4.124884432117204
"Meriwether County, Georgia",36368.0,21152.0,42.0,19679.0,4735.0,723.0,8108.0,578.0,2943.0,4407.0,2142.0,1691.0,1010.0,340.0,3121.0,13,199,22.385590015128592,3.4181164901664145
"Monroe County, Georgia",50666.0,26795.0,43.3,30359.0,3415.0,1143.0,9590.0,814.0,5104.0,6723.0,3755.0,2274.0,898.0,467.0,2617.0,13,207,12.74491509610002,4.265721216644897
"Putnam County, Georgia",48340.0,21430.0,45.6,27498.0,3425.0,632.0,8662.0,892.0,5214.0,6574.0,3974.0,2269.0,689.0,227.0,1769.0,13,237,15.982267848810078,2.9491367242183855
"Sumter County, Georgia",34219.0,30687.0,35.2,18785.0,9560.0,1370.0,11871.0,1800.0,5377.0,7917.0,5685.0,1944.0,639.0,185.0,3615.0,13,261,31.153257079545085,4.4644311923615865
"Taliaferro County, Georgia",30500.0,1844.0,43.3,17939.0,571.0,66.0,710.0,48.0,168.0,251.0,128.0,79.0,42.0,28.0,413.0,13,265,30.96529284164859,3.579175704989154
"Warren County, Georgia",32860.0,5410.0,44.2,20712.0,1427.0,189.0,2274.0,144.0,581.0,925.0,360.0,402.0,244.0,122.0,1219.0,13,301,26.377079482439925,3.4935304990757854
"Baker County, Georgia",43867.0,3251.0,43.6,22270.0,634.0,33.0,1321.0,137.0,212.0,590.0,278.0,121.0,224.0,132.0,701.0,13,007,19.501691787142416,1.0150722854506307
"Bryan County, Georgia",68589.0,34883.0,34.8,29880.0,4897.0,1315.0,12366.0,995.0,8935.0,10230.0,7208.0,2852.0,496.0,54.0,1626.0,13,029,14.038356792707049,3.769744574721211
"Butts County, Georgia",39655.0,23556.0,38.4,21236.0,4892.0,710.0,8053.0,569.0,4274.0,5186.0,2788.0,2135.0,566.0,89.0,2311.0,13,035,20.767532688062488,3.0140940736967226
"Candler County, Georgia",33125.0,10894.0,37.9,18233.0,3341.0,287.0,4061.0,337.0,1722.0,2134.0,1218.0,775.0,164.0,33.0,1684.0,13,043,30.668257756563246,2.6344776941435653
"Camden County, Georgia",53687.0,52252.0,31.6,26854.0,6413.0,1881.0,18913.0,1201.0,13750.0,15559.0,8929.0,5770.0,1405.0,436.0,2653.0,13,039,12.273214422414453,3.5998622062313403
"Carroll County, Georgia",46844.0,114898.0,34.4,23139.0,20705.0,5147.0,41123.0,4180.0,25419.0,30952.0,20977.0,8680.0,2399.0,626.0,7751.0,13,045,18.02033107625894,4.479625406882627
"Crawford County, Georgia",41032.0,12385.0,44.2,22212.0,2207.0,665.0,4715.0,500.0,2307.0,3053.0,1574.0,1195.0,285.0,166.0,1417.0,13,079,17.81994348001615,5.369398465886152
"Early County, Georgia",29493.0,10405.0,40.5,17972.0,2812.0,352.0,4032.0,282.0,1183.0,2096.0,934.0,478.0,685.0,501.0,1794.0,13,099,27.02546852474772,3.3829889476213357
"Crisp County, Georgia",33194.0,23005.0,38.3,21225.0,7025.0,1472.0,8312.0,1098.0,3104.0,4582.0,3437.0,951.0,527.0,156.0,3097.0,13,081,30.536839817430995,6.398608998043904
"Coffee County, Georgia",36572.0,43048.0,35.9,18945.0,9348.0,975.0,14329.0,1190.0,6540.0,8504.0,4727.0,3174.0,1189.0,358.0,5076.0,13,069,21.71529455491544,2.2649135848355324
"Coweta County, Georgia",67570.0,138015.0,37.9,31548.0,15900.0,3808.0,50531.0,3107.0,36190.0,41179.0,27926.0,12068.0,3557.0,650.0,6673.0,13,077,11.520486903597435,2.759120385465348
"Cobb County, Georgia",72004.0,739072.0,36.4,36587.0,79127.0,24188.0,274361.0,14975.0,217170.0,240344.0,154058.0,79681.0,13605.0,2809.0,26597.0,13,067,10.706264071700728,3.2727528576376863
"Gilmer County, Georgia",46211.0,29614.0,46.0,23688.0,5520.0,972.0,11468.0,1033.0,6778.0,8228.0,5622.0,2454.0,559.0,49.0,2900.0,13,123,18.639832511649896,3.2822313770513944
"Dade County, Georgia",43163.0,16282.0,41.8,23184.0,2619.0,387.0,6089.0,733.0,3154.0,4175.0,2327.0,1544.0,439.0,172.0,1467.0,13,083,16.08524751259059,2.3768578798673383
"Walton County, Georgia",55876.0,88695.0,38.9,25184.0,11200.0,2932.0,30488.0,1460.0,20525.0,23582.0,14755.0,7863.0,2516.0,582.0,5749.0,13,297,12.627543829979142,3.305710581205254
"Wilkes County, Georgia",34234.0,9905.0,45.5,21957.0,2595.0,312.0,3971.0,272.0,1268.0,1661.0,972.0,456.0,192.0,47.0,2166.0,13,317,26.198889449772842,3.14992428066633
"Brooks County, Georgia",34890.0,15629.0,43.2,20964.0,3641.0,922.0,6337.0,897.0,3159.0,4447.0,3095.0,1129.0,584.0,123.0,1556.0,13,027,23.296436112355238,5.899289781815855
"Dodge County, Georgia",35290.0,21063.0,41.2,18563.0,4229.0,761.0,7858.0,597.0,3151.0,4168.0,2231.0,1623.0,464.0,195.0,3447.0,13,091,20.07786165313583,3.612970611973603
"Gordon County, Georgia",43452.0,56424.0,37.0,21208.0,10466.0,1531.0,19959.0,1516.0,10825.0,13685.0,8524.0,4294.0,1682.0,597.0,5327.0,13,129,18.548844463348928,2.713384375443074
"Elbert County, Georgia",35207.0,19288.0,42.3,21138.0,4246.0,613.0,7730.0,450.0,3270.0,4080.0,2093.0,1573.0,541.0,136.0,3173.0,13,105,22.01368726669432,3.178141849854832
"Cherokee County, Georgia",75477.0,235896.0,38.0,33466.0,22072.0,6009.0,83150.0,5491.0,67567.0,75206.0,53216.0,20026.0,4926.0,585.0,6249.0,13,057,9.35666564926917,2.5473089836199003
"Fayette County, Georgia",84861.0,110306.0,43.5,39936.0,6907.0,3035.0,39604.0,2126.0,32111.0,35122.0,24159.0,10231.0,2263.0,189.0,3402.0,13,113,6.261672075861694,2.7514369118633617
"Jenkins County, Georgia",27197.0,8929.0,40.6,15149.0,2720.0,221.0,3375.0,444.0,776.0,1573.0,1032.0,306.0,482.0,159.0,1613.0,13,165,30.462537798185686,2.475081196102587
"Lee County, Georgia",65018.0,29216.0,36.9,28061.0,3281.0,1039.0,10292.0,942.0,7046.0,8542.0,6316.0,1902.0,729.0,155.0,1525.0,13,177,11.230147864184008,3.5562705366922236
"Newton County, Georgia",52784.0,105042.0,36.2,23611.0,17328.0,4592.0,35823.0,3306.0,24372.0,28735.0,19485.0,8583.0,2148.0,261.0,5501.0,13,217,16.496258639401383,4.371584699453552
"Pickens County, Georgia",61542.0,30343.0,44.9,29460.0,2964.0,975.0,11379.0,784.0,7963.0,9197.0,5902.0,2765.0,968.0,289.0,1791.0,13,227,9.768315591734503,3.213261707807402
"Greene County, Georgia",45069.0,16732.0,48.9,32890.0,3623.0,425.0,6793.0,358.0,3807.0,4411.0,2707.0,1568.0,332.0,55.0,2045.0,13,133,21.653119770499643,2.5400430313172366
"Colquitt County, Georgia",34503.0,45890.0,36.0,18121.0,11444.0,1464.0,15599.0,2053.0,8182.0,10575.0,6927.0,3252.0,625.0,154.0,4575.0,13,071,24.937894966223578,3.190237524515145
"Cook County, Georgia",35539.0,17190.0,37.0,17587.0,4099.0,425.0,6065.0,691.0,2703.0,3627.0,1883.0,1543.0,408.0,93.0,1920.0,13,075,23.845258871436883,2.472367655613729
"Dawson County, Georgia",62284.0,23397.0,43.3,31954.0,2729.0,689.0,8557.0,527.0,6261.0,6927.0,4418.0,2365.0,482.0,65.0,1235.0,13,085,11.66388853271787,2.9448219857246656
"Hancock County, Georgia",29268.0,8667.0,44.3,15454.0,1804.0,89.0,2970.0,171.0,839.0,1294.0,561.0,502.0,358.0,154.0,1496.0,13,141,20.814584054459445,1.0268835814007153
"Clayton County, Georgia",44106.0,274150.0,32.4,19498.0,58701.0,14125.0,91604.0,8651.0,57682.0,68923.0,47716.0,19092.0,5299.0,789.0,18350.0,13,063,21.41200072952763,5.1522888929418205
"Fulton County, Georgia",61336.0,1010420.0,35.2,41041.0,156519.0,41779.0,391850.0,27843.0,279765.0,316827.0,215463.0,93750.0,19916.0,2609.0,51560.0,13,121,15.490489103541101,4.134815225351834
"Hall County, Georgia",55622.0,192865.0,36.0,26283.0,30634.0,4389.0,63095.0,5209.0,42704.0,49689.0,32057.0,16003.0,3855.0,714.0,11670.0,13,139,15.883649184662847,2.27568506468255
"Lumpkin County, Georgia",43039.0,31567.0,37.3,23364.0,6052.0,922.0,11412.0,1270.0,6872.0,8575.0,5295.0,2947.0,766.0,154.0,2290.0,13,187,19.171920043082967,2.9207716919567903
"McDuffie County, Georgia",40469.0,21488.0,37.8,20436.0,5503.0,721.0,8156.0,582.0,3826.0,4693.0,2448.0,2050.0,402.0,85.0,3144.0,13,189,25.6096425912137,3.35536113179449
"Miller County, Georgia",37255.0,5884.0,43.1,21002.0,1332.0,143.0,2326.0,229.0,452.0,1039.0,661.0,176.0,272.0,163.0,1208.0,13,201,22.637661454792656,2.4303195105370494
"Morgan County, Georgia",59572.0,18013.0,44.2,28830.0,2374.0,481.0,6698.0,790.0,3319.0,4786.0,3531.0,1010.0,848.0,173.0,1576.0,13,211,13.179370454671625,2.6702936767889858
"Heard County, Georgia",44897.0,11607.0,41.9,20946.0,1975.0,510.0,4379.0,745.0,1388.0,2625.0,1881.0,539.0,461.0,161.0,1517.0,13,149,17.01559403808047,4.393900232618248
"Oconee County, Georgia",77388.0,35972.0,40.1,38639.0,2476.0,780.0,12693.0,706.0,9567.0,10587.0,7615.0,2722.0,621.0,88.0,1457.0,13,219,6.883131324363394,2.1683531635716666
"Dougherty County, Georgia",34541.0,91522.0,35.0,20292.0,26759.0,6461.0,34842.0,4603.0,18282.0,23932.0,16257.0,6948.0,1666.0,293.0,9261.0,13,095,29.237778894691985,7.059504818513582
"Fannin County, Georgia",43344.0,24480.0,50.8,24845.0,3806.0,841.0,10175.0,547.0,6631.0,7595.0,4384.0,2901.0,690.0,81.0,2097.0,13,111,15.547385620915033,3.435457516339869
"Henry County, Georgia",64752.0,217506.0,36.7,26924.0,24638.0,8348.0,72697.0,5046.0,56152.0,63493.0,43415.0,18384.0,4815.0,614.0,7089.0,13,151,11.32750360909584,3.8380550421597563
"Houston County, Georgia",55965.0,150341.0,35.1,26305.0,24745.0,5542.0,55200.0,4560.0,36715.0,42468.0,26129.0,15374.0,2605.0,360.0,10270.0,13,153,16.459249306576382,3.6862865086702894
"Laurens County, Georgia",35202.0,47451.0,38.3,20687.0,12683.0,923.0,17437.0,833.0,8134.0,9504.0,3955.0,4812.0,1015.0,281.0,6654.0,13,175,26.728625318749867,1.945164485469221
"Long County, Georgia",53083.0,17857.0,31.6,20321.0,3530.0,1243.0,5399.0,506.0,3460.0,4141.0,2288.0,1647.0,439.0,106.0,1028.0,13,183,19.76815814526516,6.960855686845495
"Spalding County, Georgia",42398.0,64192.0,38.9,21675.0,13624.0,2237.0,23475.0,1182.0,13565.0,15401.0,7822.0,6829.0,1233.0,254.0,6777.0,13,255,21.22382851445663,3.484857926221336
"Stephens County, Georgia",39756.0,25625.0,42.3,21657.0,4504.0,1339.0,9427.0,547.0,5381.0,6282.0,2908.0,2856.0,702.0,250.0,2558.0,13,257,17.57658536585366,5.225365853658537
"Telfair County, Georgia",28044.0,16339.0,41.0,13594.0,3608.0,208.0,5167.0,135.0,985.0,1286.0,558.0,573.0,243.0,48.0,3451.0,13,271,22.08213476956974,1.273027725074974
"Union County, Georgia",42767.0,22262.0,53.8,26755.0,2788.0,463.0,8788.0,532.0,5292.0,6214.0,3256.0,2565.0,504.0,173.0,2171.0,13,291,12.523582786811607,2.079777198814123
"Upson County, Georgia",35375.0,26241.0,41.5,19624.0,5817.0,1251.0,10263.0,675.0,5501.0,6434.0,3445.0,2743.0,493.0,105.0,3417.0,13,293,22.167600320109752,4.7673488053046755
"Washington County, Georgia",38097.0,20506.0,40.3,19238.0,5074.0,786.0,7384.0,720.0,2958.0,4548.0,2297.0,1653.0,945.0,406.0,2404.0,13,303,24.743977372476348,3.833024480639813
"White County, Georgia",43944.0,28509.0,45.1,23630.0,4981.0,530.0,11250.0,943.0,6249.0,7564.0,4021.0,3201.0,731.0,119.0,3332.0,13,311,17.471675611210493,1.8590620505805184
"Peach County, Georgia",43645.0,27027.0,35.8,22388.0,4685.0,1068.0,10113.0,1249.0,5526.0,7301.0,4548.0,2500.0,779.0,150.0,2363.0,13,225,17.334517334517333,3.9516039516039516
"Paulding County, Georgia",63669.0,152399.0,35.6,26636.0,14716.0,4058.0,51397.0,3832.0,37192.0,42619.0,27749.0,13953.0,3061.0,378.0,5993.0,13,223,9.656231340100657,2.6627471308866855
"Pierce County, Georgia",39863.0,19141.0,39.4,23754.0,3994.0,500.0,6975.0,522.0,3337.0,4256.0,2217.0,1710.0,615.0,193.0,2213.0,13,229,20.866203437646934,2.6121937202862964
"Pike County, Georgia",52377.0,17919.0,40.5,25176.0,2148.0,734.0,5963.0,748.0,3335.0,4460.0,2446.0,1684.0,514.0,187.0,1225.0,13,231,11.987276075673865,4.09621072604498
"Richmond County, Georgia",39430.0,201568.0,33.7,21464.0,46692.0,10363.0,72361.0,5876.0,42752.0,50072.0,30855.0,17669.0,3241.0,342.0,18582.0,13,245,23.164391173202095,5.14119304651532
"Screven County, Georgia",36556.0,14037.0,41.2,20255.0,3092.0,328.0,5268.0,692.0,2604.0,3438.0,2291.0,995.0,279.0,82.0,1686.0,13,251,22.027498753294864,2.336681627128304
"Tattnall County, Georgia",36355.0,25402.0,36.9,16279.0,4553.0,323.0,8044.0,833.0,3975.0,5246.0,3380.0,1644.0,621.0,98.0,2333.0,13,267,17.923785528698527,1.271553420990473
"Berrien County, Georgia",38297.0,19014.0,39.5,18064.0,4445.0,731.0,7240.0,623.0,3366.0,4340.0,2194.0,1848.0,435.0,240.0,2534.0,13,019,23.377511307457663,3.844535605343431
"Walker County, Georgia",43581.0,68609.0,41.4,22564.0,11523.0,2179.0,25564.0,2067.0,15433.0,18052.0,10242.0,7193.0,1034.0,236.0,6594.0,13,295,16.795172644988266,3.175968167441589
"Gwinnett County, Georgia",64496.0,889954.0,34.9,27945.0,107267.0,27244.0,283256.0,13686.0,222347.0,243168.0,153694.0,81626.0,17997.0,2369.0,31017.0,13,135,12.053094879061165,3.061281819060311
"Barrow County, Georgia",56119.0,75099.0,35.1,22978.0,9829.0,2500.0,24588.0,1465.0,17174.0,19339.0,11593.0,7023.0,1778.0,204.0,4275.0,13,013,13.08805709796402,3.32893913367688
"Charlton County, Georgia",43257.0,12963.0,41.4,19102.0,2719.0,512.0,3537.0,269.0,1597.0,2136.0,979.0,922.0,296.0,137.0,1123.0,13,049,20.97508292833449,3.949703000848569
"Clinch County, Georgia",21838.0,6788.0,37.6,17145.0,2641.0,217.0,2576.0,95.0,974.0,1164.0,456.0,623.0,123.0,47.0,1204.0,13,065,38.90689451974072,3.196817913965822
"Bartow County, Georgia",52393.0,102623.0,37.5,24931.0,14417.0,3017.0,37120.0,4509.0,23323.0,29062.0,20688.0,7165.0,2422.0,479.0,6744.0,13,015,14.048507644485154,2.939886770022315
"Douglas County, Georgia",59333.0,140152.0,36.3,25449.0,19690.0,5716.0,48426.0,3350.0,33177.0,37649.0,23624.0,13042.0,2742.0,290.0,6430.0,13,097,14.049032479022776,4.078429134082995
"Grady County, Georgia",39462.0,25048.0,39.7,20864.0,6284.0,884.0,9092.0,1041.0,4734.0,6171.0,4180.0,1723.0,549.0,133.0,2641.0,13,131,25.08783136378154,3.5292238901309485
"Jeff Davis County, Georgia",37267.0,14999.0,36.3,18550.0,3079.0,290.0,5210.0,486.0,1610.0,2714.0,1547.0,693.0,767.0,308.0,2099.0,13,161,20.528035202346825,1.9334622308153877
"Montgomery County, Georgia",40308.0,8962.0,39.4,20114.0,1593.0,250.0,3077.0,398.0,1472.0,2118.0,902.0,973.0,355.0,178.0,877.0,13,209,17.77505021200625,2.78955590270029
"Oglethorpe County, Georgia",43938.0,14654.0,42.5,21858.0,2543.0,394.0,5642.0,310.0,2940.0,3475.0,2033.0,1096.0,440.0,83.0,1906.0,13,221,17.353623584004367,2.6886856830899415
"Randolph County, Georgia",30640.0,7206.0,44.3,19781.0,2449.0,259.0,2864.0,512.0,972.0,1739.0,1203.0,415.0,345.0,88.0,991.0,13,243,33.98556758257008,3.5942270330280324
"Rockdale County, Georgia",54175.0,88482.0,37.3,24254.0,14232.0,3683.0,29937.0,1427.0,20214.0,22905.0,13100.0,8715.0,2164.0,600.0,5583.0,13,247,16.084627381840374,4.162428516534437
"Ware County, Georgia",36962.0,35688.0,38.9,19246.0,8240.0,632.0,13903.0,791.0,7369.0,9011.0,4152.0,4145.0,1169.0,453.0,3921.0,13,299,23.088993499215423,1.77090338489128
"Wayne County, Georgia",41534.0,29833.0,38.2,19188.0,5863.0,1098.0,10362.0,941.0,4984.0,6567.0,3533.0,2716.0,792.0,199.0,2939.0,13,305,19.652733550095533,3.6804880501458115
"Wheeler County, Georgia",28490.0,7952.0,38.2,11192.0,1780.0,185.0,1972.0,39.0,363.0,483.0,108.0,267.0,92.0,78.0,1401.0,13,309,22.38430583501006,2.3264587525150904
"Wilcox County, Georgia",35457.0,8896.0,39.4,15119.0,1491.0,197.0,2676.0,256.0,857.0,1336.0,770.0,439.0,230.0,98.0,1200.0,13,315,16.760341726618705,2.214478417266187
"Baldwin County, Georgia",37008.0,45527.0,35.1,20114.0,11610.0,1735.0,16330.0,941.0,9577.0,11077.0,5455.0,4957.0,874.0,293.0,4293.0,13,009,25.50135084675028,3.8109253849364113
"Banks County, Georgia",42182.0,18363.0,40.3,19451.0,2629.0,547.0,6489.0,498.0,3166.0,3940.0,2411.0,1261.0,430.0,117.0,2188.0,13,011,14.31683276153134,2.97881609758754
"Bulloch County, Georgia",39305.0,73742.0,28.1,20526.0,20153.0,3343.0,26632.0,2425.0,15189.0,18286.0,12965.0,5031.0,1131.0,26.0,5818.0,13,031,27.329066203791598,4.53337311165957
"Clarke County, Georgia",34557.0,123554.0,27.3,21203.0,38618.0,4742.0,46291.0,2017.0,32103.0,35273.0,23724.0,10543.0,1768.0,239.0,8739.0,13,059,31.255969049970055,3.837997960405976
"Hawaii County, Hawaii",56395.0,196325.0,42.1,26959.0,33703.0,6225.0,67054.0,3768.0,43747.0,49980.0,27016.0,20874.0,3115.0,1088.0,13165.0,15,001,17.16694256971858,3.170762765821979
"Honolulu County, Hawaii",80078.0,990060.0,37.6,33776.0,86868.0,22156.0,311451.0,18899.0,237938.0,260880.0,182372.0,74549.0,8432.0,722.0,40809.0,15,003,8.774013696139628,2.2378441710603396
