Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet,State,county,Poverty Rate,Unemployment Rate
"Arroyo Municipio, Puerto Rico",15689.0,18504.0,38.7,7639.0,10487.0,699.0,6127.0,1456.0,1777.0,3403.0,2300.0,985.0,188.0,34.0,2624.0,72,015,56.674232598357115,3.777561608300908
"Cataño Municipio, Puerto Rico",18663.0,25595.0,39.1,11627.0,12639.0,2988.0,9068.0,2348.0,2842.0,5383.0,4159.0,1114.0,220.0,75.0,3467.0,72,033,49.38073842547372,11.674155108419614
"Florida Municipio, Puerto Rico",16919.0,12140.0,38.2,7837.0,6839.0,649.0,4300.0,376.0,1099.0,1664.0,1210.0,380.0,89.0,51.0,2261.0,72,054,56.33443163097199,5.345963756177924
"Hatillo Municipio, Puerto Rico",17770.0,40978.0,40.7,10360.0,18522.0,1250.0,14443.0,2519.0,3765.0,7244.0,5880.0,1178.0,538.0,47.0,5971.0,72,065,45.19986334130509,3.0504172970862413
"Humacao Municipio, Puerto Rico",18735.0,54736.0,41.3,11682.0,24820.0,2286.0,18378.0,3172.0,5801.0,9528.0,7407.0,1767.0,671.0,206.0,7562.0,72,069,45.34492838351359,4.176410406313943
"Juana Díaz Municipio, Puerto Rico",20228.0,47952.0,37.5,10244.0,22662.0,4240.0,15964.0,4111.0,5328.0,9995.0,8343.0,1482.0,556.0,129.0,5737.0,72,075,47.25975975975976,8.842175508842175
"Morovis Municipio, Puerto Rico",18739.0,31785.0,37.0,8816.0,15639.0,2204.0,10129.0,1236.0,2143.0,5456.0,4489.0,605.0,1878.0,338.0,4079.0,72,101,49.20245398773006,6.934088406481044
"Mayagüez Municipio, Puerto Rico",14642.0,79615.0,39.9,10656.0,40790.0,6999.0,29769.0,4044.0,11494.0,16137.0,11750.0,3861.0,728.0,182.0,12941.0,72,097,51.234063932676,8.791056961627834
"Santa Isabel Municipio, Puerto Rico",16816.0,22475.0,37.2,10478.0,11045.0,788.0,7759.0,992.0,2726.0,3776.0,2183.0,1573.0,55.0,4.0,3619.0,72,133,49.143492769744164,3.506117908787542
"Trujillo Alto Municipio, Puerto Rico",31202.0,69478.0,39.3,15703.0,21009.0,2199.0,24357.0,4469.0,11066.0,16180.0,12600.0,3106.0,764.0,172.0,7538.0,72,139,30.238348829845417,3.1650306571864477
"Quebradillas Municipio, Puerto Rico",16082.0,24548.0,39.3,9287.0,12679.0,982.0,8491.0,943.0,2370.0,3645.0,2156.0,1162.0,446.0,211.0,4079.0,72,115,51.6498289066319,4.000325892129705
"Guayama Municipio, Puerto Rico",15296.0,42623.0,37.5,9183.0,22269.0,813.0,14989.0,3180.0,4066.0,7565.0,5626.0,1811.0,369.0,128.0,7077.0,72,057,52.24643971564648,1.9074208760528353
"Moca Municipio, Puerto Rico",13413.0,37676.0,38.6,7881.0,21615.0,3076.0,12975.0,1375.0,4953.0,7095.0,3859.0,1943.0,1504.0,625.0,5282.0,72,099,57.3707399936299,8.164348656969954
"Culebra Municipio, Puerto Rico",23355.0,1494.0,39.3,11450.0,615.0,11.0,520.0,137.0,138.0,281.0,233.0,48.0,6.0,0.0,200.0,72,049,41.16465863453815,0.7362784471218207
