,Metropolitan Areas,Unemployment Rate Jul 2017
161,"Hartford-West Hartford-East Hartford, CT",3.7
162,"Joplin, MO",3.7
163,"Kingston, NY",3.7
164,"Lawrence, KS",3.7
165,"Providence-Warwick, RI-MA",3.7
166,"Santa Maria-Santa Barbara, CA",3.7
167,"Springfield, MA-CT",3.7
168,"State College, PA",3.7
169,"Topeka, KS",3.7
170,"Waco, TX",3.7
171,"Warner Robins, GA",3.7
172,"Corvallis, OR",3.8
173,"Hagerstown-Martinsburg, MD-WV",3.8
174,"Janesville-Beloit, WI",3.8
175,"Lancaster, PA",3.8
176,"Lawton, OK",3.8
177,"Milwaukee-Waukesha-West Allis, WI",3.8
178,"Mobile, AL",3.8
179,"Sumter, SC",3.8
180,"Valdosta, GA",3.8
181,"Bend-Redmond, OR",3.9
182,"Casper, WY",3.9
183,"Columbus, OH",3.9
184,"Davenport-Moline-Rock Island, IA-IL",3.9
185,"Durham-Chapel Hill, NC",3.9
186,"Fort Smith, AR-OK",3.9
187,"Grand Rapids-Wyoming, MI",3.9
188,"Ithaca, NY",3.9
189,"Kokomo, IN",3.9
190,"Morgantown, WV",3.9
191,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3.9
192,"New York-Newark-Jersey City, NY-NJ-PA",3.9
193,"Oxnard-Thousand Oaks-Ventura, CA",3.9
194,"Punta Gorda, FL",3.9
195,"Raleigh, NC",3.9
196,"Springfield, IL",3.9
197,"Augusta-Richmond County, GA-SC",4
198,"Bloomington, IN",4
199,"Chambersburg-Waynesboro, PA",4
200,"Charlotte-Concord-Gastonia, NC-SC",4
201,"Chattanooga, TN-GA",4
202,"Harrisburg-Carlisle, PA",4
203,"Houston-The Woodlands-Sugar Land, TX",4
204,"Kansas City, MO-KS",4
205,"Killeen-Temple, TX",4
206,"Laredo, TX",4
207,"Lebanon, PA",4
208,"Lexington-Fayette, KY",4
209,"Longview, TX",4
210,"Port St. Lucie, FL",4
211,"Portland-Vancouver-Hillsboro, OR-WA",4
212,"Sacramento--Roseville--Arden-Arcade, CA",4
213,"Salisbury, MD-DE",4
214,"Wenatchee, WA",4
215,"Wichita, KS",4
216,"Wilmington, NC",4
217,"Baltimore-Columbia-Towson, MD",4.1
218,"Bloomington, IL",4.1
219,"Carson City, NV",4.1
220,"Chicago-Naperville-Elgin, IL-IN-WI",4.1
221,"Duluth, MN-WI",4.1
222,"El Paso, TX",4.1
223,"Hot Springs, AR",4.1
224,"Lakeland-Winter Haven, FL",4.1
225,"Macon-Bibb County, GA",4.1
226,"Ocala, FL",4.1
227,"Rochester, NY",4.1
228,"Syracuse, NY",4.1
229,"Ann Arbor, MI",4.2
230,"California-Lexington Park, MD",4.2
231,"Carbondale-Marion, IL",4.2
232,"Champaign-Urbana, IL",4.2
233,"Cincinnati, OH-KY-IN",4.2
234,"Elmira, NY",4.2
235,"Hickory-Lenoir-Morganton, NC",4.2
236,"Hinesville, GA",4.2
237,"Knoxville, TN",4.2
238,"Lake Charles, LA",4.2
239,"New Bedford, MA",4.2
240,"Sebastian-Vero Beach, FL",4.2
241,"South Bend-Mishawaka, IN-MI",4.2
242,"Utica-Rome, NY",4.2
243,"Vallejo-Fairfield, CA",4.2
244,"Winston-Salem, NC",4.2
245,"York-Hanover, PA",4.2
246,"Buffalo-Cheektowaga-Niagara Falls, NY",4.3
247,"Jackson, TN",4.3
248,"Michigan City-La Porte, IN",4.3
249,"Muncie, IN",4.3
250,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.3
251,"Santa Cruz-Watsonville, CA",4.3
252,"Albany, GA",4.4
253,"Burlington, NC",4.4
