,Metropolitan Areas,GDP 2017
158,"Houma-Thibodaux, LA","7,972"
159,"Houston-The Woodlands-Sugar Land, TX","436,369"
160,"Huntington-Ashland, WV-KY-OH","13,229"
161,"Huntsville, AL","22,677"
162,"Idaho Falls, ID","6,094"
163,"Indianapolis-Carmel-Anderson, IN","122,608"
164,"Iowa City, IA","8,934"
165,"Ithaca, NY","4,391"
166,"Jackson, MI","5,548"
167,"Jackson, MS","26,268"
168,"Jackson, TN","5,629"
169,"Jacksonville, FL","65,830"
170,"Jacksonville, NC","7,385"
171,"Janesville-Beloit, WI","5,737"
172,"Jefferson City, MO","6,359"
173,"Johnson City, TN","6,092"
174,"Johnstown, PA","3,690"
175,"Jonesboro, AR","4,521"
176,"Joplin, MO","6,486"
177,"Kahului-Wailuku-Lahaina, HI","7,938"
178,"Kalamazoo-Portage, MI","14,630"
179,"Kankakee, IL","3,840"
180,"Kansas City, MO-KS","114,418"
181,"Kennewick-Richland, WA","11,894"
182,"Killeen-Temple, TX","15,411"
183,"Kingsport-Bristol-Bristol, TN-VA","10,101"
184,"Kingston, NY","5,318"
185,"Knoxville, TN","36,179"
186,"Kokomo, IN","4,101"
187,"La Crosse-Onalaska, WI-MN","6,510"
188,"Lafayette, LA","19,285"
189,"Lafayette-West Lafayette, IN","8,945"
190,"Lake Charles, LA","13,614"
191,"Lake Havasu City-Kingman, AZ","3,759"
192,"Lakeland-Winter Haven, FL","18,297"
193,"Lancaster, PA","25,170"
194,"Lansing-East Lansing, MI","19,548"
195,"Laredo, TX","7,090"
196,"Las Cruces, NM","6,171"
197,"Las Vegas-Henderson-Paradise, NV","96,062"
198,"Lawrence, KS","3,959"
199,"Lawton, OK","4,497"
200,"Lebanon, PA","4,474"
201,"Lewiston, ID-WA","2,146"
202,"Lewiston-Auburn, ME","3,621"
203,"Lexington-Fayette, KY","26,079"
204,"Lima, OH","4,695"
205,"Lincoln, NE","17,300"
206,"Little Rock-North Little Rock-Conway, AR","34,241"
207,"Logan, UT-ID","4,411"
208,"Longview, TX","9,137"
209,"Longview, WA","3,761"
210,"Los Angeles-Long Beach-Anaheim, CA","904,899"
211,"Louisville/Jefferson County, KY-IN","65,700"
212,"Lubbock, TX","12,038"
213,"Lynchburg, VA","8,547"
214,"Macon, GA","8,457"
215,"Madera, CA","4,956"
216,"Madison, WI","43,597"
217,"Manchester-Nashua, NH","25,103"
218,"Manhattan, KS","3,308"
219,"Mankato-North Mankato, MN","4,714"
220,"Mansfield, OH","3,914"
221,"McAllen-Edinburg-Mission, TX","17,652"
222,"Medford, OR","7,412"
223,"Memphis, TN-MS-AR","62,059"
224,"Merced, CA","7,590"
225,"Miami-Fort Lauderdale-West Palm Beach, FL","296,486"
226,"Michigan City-La Porte, IN","3,443"
227,"Midland, MI","5,408"
228,"Midland, TX","29,825"
229,"Milwaukee-Waukesha-West Allis, WI","91,962"
230,"Minneapolis-St. Paul-Bloomington, MN-WI","226,152"
231,"Missoula, MT","4,807"
232,"Mobile, AL","16,803"
233,"Modesto, CA","17,954"
234,"Monroe, LA","6,936"
235,"Monroe, MI","4,479"
236,"Montgomery, AL","15,179"
237,"Morgantown, WV","6,903"
238,"Morristown, TN","3,828"
239,"Mount Vernon-Anacortes, WA","5,244"
240,"Muncie, IN","3,425"
241,"Muskegon, MI","5,196"
242,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","14,844"
243,"Napa, CA","9,750"
244,"Naples-Immokalee-Marco Island, FL","15,608"
245,"Nashville-Davidson--Murfreesboro--Franklin, TN","115,716"
246,"New Bern, NC","4,301"
247,"New Haven-Milford, CT","39,442"
248,"New Orleans-Metairie, LA","67,023"
249,"New York-Newark-Jersey City, NY-NJ-PA","1,444,484"
250,"Niles-Benton Harbor, MI","5,952"
251,"North Port-Sarasota-Bradenton, FL","27,015"
252,"Norwich-New London, CT","13,643"
253,"Ocala, FL","7,503"
254,"Ocean City, NJ","4,481"
255,"Odessa, TX","9,061"
256,"Ogden-Clearfield, UT","22,326"
257,"Oklahoma City, OK","67,714"
258,"Olympia-Tumwater, WA","10,653"
259,"Omaha-Council Bluffs, NE-IA","56,229"
260,"Orlando-Kissimmee-Sanford, FL","114,969"
261,"Oshkosh-Neenah, WI","9,245"
262,"Owensboro, KY","4,849"
263,"Oxnard-Thousand Oaks-Ventura, CA","43,400"
264,"Palm Bay-Melbourne-Titusville, FL","19,480"
265,"Panama City, FL","7,273"
266,"Parkersburg-Vienna, WV","3,823"
267,"Pensacola-Ferry Pass-Brent, FL","15,495"
268,"Peoria, IL","16,364"
269,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","387,217"
270,"Phoenix-Mesa-Scottsdale, AZ","210,968"
271,"Pine Bluff, AR","2,663"
272,"Pittsburgh, PA","131,222"
273,"Pittsfield, MA","6,024"
274,"Pocatello, ID","2,437"
275,"Portland-South Portland, ME","27,812"
276,"Portland-Vancouver-Hillsboro, OR-WA","156,553"
277,"Port St. Lucie, FL","12,114"
278,"Prescott, AZ","5,300"
279,"Providence-Warwick, RI-MA","71,739"
280,"Provo-Orem, UT","22,183"
281,"Pueblo, CO","4,534"
282,"Punta Gorda, FL","3,719"
283,"Racine, WI","6,791"
284,"Raleigh, NC","72,626"
285,"Rapid City, SD","5,833"
286,"Reading, PA","16,375"
287,"Redding, CA","6,046"
288,"Reno, NV","23,060"
289,"Richmond, VA","70,677"
290,"Riverside-San Bernardino-Ontario, CA","135,986"
291,"Roanoke, VA","13,263"
292,"Rochester, MN","11,200"
293,"Rochester, NY","48,504"
294,"Rockford, IL","13,235"
295,"Rocky Mount, NC","4,962"
296,"Rome, GA","3,426"
297,"Sacramento--Roseville--Arden-Arcade, CA","108,732"
298,"Saginaw, MI","7,117"
299,"St. Cloud, MN","8,825"
