,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018
413,"Berkeley, CA",,,,,,90.80%,
694,"Berlin, NH-VT",,,,,,,37839.0
695,"Big Rapids, MI",,,,,,,43545.0
696,"Big Spring, TX",,,,,,,37847.0
697,"Big Stone Gap, VA",,,,,,,56503.0
33,"Billings, MT","8,563",2.8,"7,386","970,357,366",880,82%,171677.0
34,"Binghamton, NY","8,524",4.5,"5,379","1,085,284,705",857,,240219.0
603,"Birmingham, AL",,,,,,61%,
35,"Birmingham-Hoover, AL","55,927",2.7,"29,685","6,316,895,109",980,,1151801.0
36,"Bismarck, ND","6,921",2.2,"5,042","865,268,904",955,,132678.0
698,"Blackfoot, ID",,,,,,,46236.0
37,"Blacksburg-Christiansburg-Radford, VA","6,134",3.2,"4,427","774,059,000",854,,184029.0
38,"Bloomington, IL","10,924",4.1,"3,729","1,113,891,188",979,,188597.0
39,"Bloomington, IN","6,355",4.0,"3,323","733,108,020",832,,167762.0
40,"Bloomsburg-Berwick, PA","3,566",4.6,"2,012","503,399,144",960,,83696.0
699,"Bluefield, WV-VA",,,,,,,99986.0
700,"Blytheville, AR",,,,,,,41239.0
701,"Bogalusa, LA",,,,,,,46582.0
41,"Boise City, ID","29,425",2.8,"22,966","3,689,384,296",872,84.10%,730426.0
702,"Bonham, TX",,,,,,,35286.0
703,"Boone, IA",,,,,,,26346.0
704,"Boone, NC",,,,,,,55945.0
705,"Borger, TX",,,,,,,21198.0
509,"Boston, MA",,,,,,80.10%,
609,"Boston, MA Metro Division",,,,,,,2030772.0
378,"Boston-Cambridge-Newton, MA-NH",,,"168,691","48,985,760,615","1,407",,4875390.0
42,"Boulder, CO","22,601",2.4,"15,824","3,138,365,992","1,305",92.70%,326078.0
43,"Bowling Green, KY","6,283",4.8,"4,444","735,473,657",772,,177432.0
706,"Bozeman, MT",,,,,,,111876.0
707,"Bradford, PA",,,,,,,40968.0
708,"Brainerd, MN",,,,,,,94408.0
709,"Branson, MO",,,,,,,87601.0
710,"Breckenridge, CO",,,,,,,31007.0
44,"Bremerton-Silverdale, WA","9,867",5.1,"6,890","1,158,341,488",981,,269805.0
711,"Brenham, TX",,,,,,,35108.0
712,"Brevard, NC",,,,,,,34215.0
553,"Bridgeport, CT",,,,,,75.70%,
45,"Bridgeport-Stamford-Norwalk, CT","82,721",3.6,"36,092","7,984,915,347","1,461",,943823.0
437,"Broken Arrow, OK",,,,,,88%,
713,"Brookhaven, MS",,,,,,,34205.0
714,"Brookings, OR",,,,,,,22813.0
715,"Brookings, SD",,,,,,,35232.0
716,"Brownsville, TN",,,,,,,17335.0
602,"Brownsville, TX",,,,,,61.10%,
46,"Brownsville-Harlingen, TX","8,777",5.8,"6,566","1,139,056,160",632,,423908.0
717,"Brownwood, TX",,,,,,,37924.0
47,"Brunswick, GA","3,422",3.5,"3,054","459,269,459",817,,118456.0
718,"Bucyrus, OH",,,,,,,41550.0
591,"Buffalo, NY",,,,,,67.40%,
48,"Buffalo-Cheektowaga-Niagara Falls, NY","50,980",4.3,"29,261","6,333,678,524",905,,1130152.0
441,"Burbank, CA",,,,,,87.70%,
719,"Burley, ID",,,,,,,44689.0
720,"Burlington, IA-IL",,,,,,,45847.0
49,"Burlington, NC","4,723",4.4,"3,471","591,150,926",751,,166436.0
50,"Burlington-South Burlington, VT","12,368",1.8,"8,572","1,577,137,262",990,,221083.0
721,"Butte-Silver Bow, MT",,,,,,,34993.0
722,"Cadillac, MI",,,,,,,48579.0
723,"Calhoun, GA",,,,,,,57685.0
51,"California-Lexington Park, MD","5,585",4.2,"2,183","729,830,429","1,250",,112664.0
448,"Cambridge, MA",,,,,,87%,
724,"Cambridge, MD",,,,,,,31998.0
725,"Cambridge, OH",,,,,,,39022.0
610,"Cambridge-Newton-Framingham, MA Metro Division",,,,,,,2405352.0
726,"Camden, AR",,,,,,,28883.0
630,"Camden, NJ Metro Division",,,,,,,1243870.0
727,"Campbellsville, KY",,,,,,,25549.0
729,"Canton, IL",,,,,,,34844.0
52,"Canton-Massillon, OH","14,901",4.6,"9,175","1,711,120,025",790,,398655.0
436,"Cape Coral, FL",,,,,,88.20%,
53,"Cape Coral-Fort Myers, FL","24,234",3.4,"22,485","2,741,743,002",823,,754610.0
54,"Cape Girardeau, MO-IL","3,736",3.7,"3,152","418,390,772",740,,96982.0
55,"Carbondale-Marion, IL","4,584",4.2,"2,565","541,853,833",791,,124475.0
414,"Carlsbad, CA",,,,,,90.80%,
730,"Carlsbad-Artesia, NM",,,,,,,57900.0
731,"Carroll, IA",,,,,,,20154.0
471,"Carrollton, TX",,,,,,84.40%,
56,"Carson City, NV","3,020",4.1,"2,095","375,342,672",963,,55414.0
392,"Cary, NC",,,,,,95.50%,
57,"Casper, WY","5,426",3.9,"3,567","479,992,974",955,,79115.0
728,"Cañon City, CO",,,,,,,48021.0
732,"Cedar City, UT",,,,,,,52775.0
58,"Cedar Rapids, IA","16,448",2.9,"8,245","1,875,225,202","1,013",81.30%,272295.0
733,"Cedartown, GA",,,,,,,42470.0
734,"Celina, OH",,,,,,,40959.0
391,"Centennial, CO",,,,,,96%,
735,"Central City, KY",,,,,,,30774.0
736,"Centralia, IL",,,,,,,37620.0
737,"Centralia, WA",,,,,,,79604.0
59,"Chambersburg-Waynesboro, PA","4,805",4.0,"3,302","657,953,299",846,,154835.0
60,"Champaign-Urbana, IL","10,500",4.2,"4,800","1,151,799,179",901,,239643.0
410,"Chandler, AZ",,,,,,91%,
491,"Charleston, SC",,,,,,82.20%,
61,"Charleston, WV","11,143",4.5,"6,284","1,223,340,078",909,,211037.0
738,"Charleston-Mattoon, IL",,,,,,,61693.0
62,"Charleston-North Charleston, SC","36,074",2.8,"21,400","4,043,670,674",905,,787643.0
494,"Charlotte, NC",,,,,,82%,
63,"Charlotte-Concord-Gastonia, NC-SC","146,630",4.0,"70,022","15,912,144,965","1,032",,2569213.0
64,"Charlottesville, VA","11,510",2.7,"8,503","1,455,092,769","1,004",,235232.0
574,"Chattanooga, TN",,,,,,71.40%,
65,"Chattanooga, TN-GA","23,425",4.0,"12,542","2,843,812,380",879,,560793.0
478,"Chesapeake, VA",,,,,,83.80%,
66,"Cheyenne, WY","4,820",3.6,"3,669","539,077,537",895,,98976.0
557,"Chicago, IL",,,,,,75.10%,
612,"Chicago-Naperville-Arlington Heights, IL Metro Division",,,,,,,7288849.0
67,"Chicago-Naperville-Elgin, IL-IN-WI","583,137",4.1,"250,287","67,137,656,373","1,137",,9498716.0
68,"Chico, CA","6,996",5.4,"8,699","910,196,918",828,,231256.0
739,"Chillicothe, OH",,,,,,,76931.0
479,"Chula Vista, CA",,,,,,83.60%,
581,"Cincinnati, OH",,,,,,69.70%,
69,"Cincinnati, OH-KY-IN","119,223",4.2,"54,731","13,972,808,850","1,016",,2190209.0
740,"Claremont-Lebanon, NH-VT",,,,,,,217215.0
741,"Clarksburg, WV",,,,,,,92822.0
742,"Clarksdale, MS",,,,,,,22628.0
489,"Clarksville, TN",,,,,,82.70%,
