State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet
16,"Minidoka County, Idaho",20448.0,35.4,48021.0,21887.0,3623.0,17.718114241001565,1.838810641627543,7357.0,1142.0,3896.0,5649.0,4045.0,1352.0,674.0,153.0,1448.0
16,"Twin Falls County, Idaho",82248.0,34.6,49118.0,22723.0,11651.0,14.165693998638265,2.1131212917031417,30096.0,3087.0,17841.0,23344.0,15093.0,6939.0,2742.0,1006.0,5227.0
16,"Owyhee County, Idaho",11384.0,38.6,36092.0,19909.0,2622.0,23.03232607167955,2.740688685874912,4190.0,497.0,1367.0,2565.0,1415.0,677.0,678.0,348.0,1366.0
16,"Blaine County, Idaho",21583.0,42.8,58835.0,32736.0,3180.0,14.733818282907844,2.108140666265116,8273.0,769.0,5619.0,7087.0,2081.0,4213.0,758.0,628.0,1018.0
16,"Boise County, Idaho",6968.0,53.2,49964.0,29648.0,782.0,11.222732491389207,2.540183696900115,3004.0,197.0,1559.0,2178.0,990.0,894.0,408.0,190.0,627.0
16,"Boundary County, Idaho",11323.0,43.7,39512.0,24606.0,2040.0,18.0164267420295,1.3953899143336572,4490.0,502.0,1689.0,2993.0,1411.0,954.0,754.0,532.0,1222.0
16,"Butte County, Idaho",2613.0,46.4,43207.0,26227.0,416.0,15.92039800995025,2.678913126674321,1049.0,110.0,539.0,764.0,388.0,298.0,103.0,63.0,204.0
16,"Caribou County, Idaho",6862.0,36.9,58750.0,25669.0,633.0,9.224715826289712,1.1804138735062664,2533.0,213.0,1477.0,2101.0,1343.0,528.0,428.0,196.0,363.0
16,"Gooding County, Idaho",15110.0,37.3,42626.0,20821.0,2392.0,15.830575777630708,2.6538716082064857,5550.0,459.0,2621.0,3885.0,1773.0,1550.0,894.0,403.0,1486.0
16,"Ada County, Idaho",435117.0,36.4,60151.0,31642.0,50474.0,11.60009836434798,2.2161855317075636,164389.0,10065.0,112864.0,129852.0,82599.0,42690.0,11832.0,2293.0,26332.0
16,"Bannock County, Idaho",84113.0,33.2,47390.0,23872.0,14445.0,17.17332635858904,2.9757588006610156,30790.0,2713.0,19176.0,24780.0,16257.0,6886.0,3071.0,1172.0,4831.0
16,"Bear Lake County, Idaho",5942.0,39.3,50603.0,24411.0,853.0,14.355435880175024,1.6324469875462808,2313.0,196.0,1213.0,1771.0,1202.0,396.0,336.0,120.0,466.0
16,"Bingham County, Idaho",45369.0,33.3,51307.0,20720.0,5905.0,13.015495161894686,2.347417840375587,14903.0,1800.0,7827.0,11664.0,7881.0,2677.0,2078.0,852.0,2716.0
16,"Bonneville County, Idaho",110404.0,32.6,54150.0,25706.0,12919.0,11.70156878373972,1.7300097822542662,38400.0,3183.0,25891.0,31730.0,20973.0,9051.0,3376.0,1106.0,5016.0
16,"Camas County, Idaho",886.0,47.0,36667.0,29193.0,198.0,22.34762979683973,2.0316027088036117,370.0,20.0,140.0,247.0,48.0,119.0,89.0,76.0,115.0
16,"Canyon County, Idaho",207027.0,33.2,46426.0,19765.0,34812.0,16.815198017649873,3.349321586073314,69303.0,6057.0,40066.0,51185.0,32016.0,15776.0,6500.0,1977.0,14017.0
16,"Clearwater County, Idaho",8533.0,50.3,41122.0,22169.0,1048.0,12.281729755068557,2.1563342318059298,3706.0,314.0,1355.0,2532.0,1134.0,761.0,845.0,570.0,958.0
16,"Jefferson County, Idaho",27410.0,31.3,58055.0,21519.0,2596.0,9.470995986866107,2.0941262313024445,8470.0,830.0,4987.0,6672.0,4495.0,1742.0,991.0,334.0,1179.0
16,"Latah County, Idaho",38697.0,28.3,43310.0,24166.0,7980.0,20.621753624311964,3.858180220688942,15448.0,892.0,10072.0,12644.0,7387.0,4117.0,1612.0,743.0,1693.0
16,"Custer County, Idaho",4141.0,53.4,37976.0,23290.0,773.0,18.66698865008452,2.0284955324800773,1850.0,93.0,1178.0,1383.0,519.0,735.0,206.0,78.0,352.0
16,"Lemhi County, Idaho",7755.0,52.9,36031.0,22489.0,1306.0,16.840747904577693,1.8568665377176015,3703.0,273.0,2119.0,2708.0,1209.0,1211.0,399.0,191.0,853.0
16,"Payette County, Idaho",22839.0,38.8,48447.0,23361.0,3468.0,15.184552738736372,2.754061035947283,8571.0,811.0,4786.0,6097.0,3903.0,1776.0,783.0,162.0,1760.0
16,"Benewah County, Idaho",9050.0,46.5,43472.0,23120.0,1418.0,15.668508287292818,4.05524861878453,3508.0,304.0,930.0,2196.0,981.0,527.0,867.0,642.0,1008.0
16,"Bonner County, Idaho",41855.0,47.7,45607.0,25909.0,5752.0,13.742683072512245,1.8874686417393383,17563.0,2514.0,7181.0,12736.0,7398.0,3384.0,3079.0,1550.0,3993.0
16,"Clark County, Idaho",1055.0,29.7,31927.0,15283.0,255.0,24.170616113744074,2.1800947867298577,313.0,12.0,103.0,162.0,92.0,41.0,57.0,29.0,113.0
16,"Elmore County, Idaho",26232.0,31.4,45154.0,23029.0,3783.0,14.42131747483989,2.9200975907288806,10062.0,818.0,6015.0,7738.0,4062.0,3091.0,847.0,454.0,2033.0
